id,label,number_of_doctors,landsting_id,ownership,phonesystem,booking_type,unit_type,unit_type_number,code,_label
4145,Vuxenpsykiatrin Sölvesborg/Olofström,,27,Offentlig,,,Specialiserad vård,3,27535,Vuxenpsykiatrin Sölvesborg/Olofström
4147,"Carema Specialistvård, Lund",,41,Privat,,,Specialiserad vård,3,41051x,"Carema Specialistvård, Lund"
4148,Carema Närsjukvård Simrishamn,,41,Privat,,,Specialiserad vård,3,28013x,Carema Närsjukvård Simrishamn
4149,"Carema Specialistvård, Eslöv",,41,Privat,,,Specialiserad vård,3,41050x,"Carema Specialistvård, Eslöv"
4150,"Allmänpsykiatriska mottagningen (Affektiva sjukdomar), Västerås",,56,Offentlig,,,Specialiserad vård,3,560109_old,"Allmänpsykiatriska mottagningen (Affektiva sjukdomar), Västerås"
4151,"Allmänpsykiatriska mottagningen (Ångestsjukdomar), Västerås",,56,Offentlig,,,Specialiserad vård,3,5601010_old,"Allmänpsykiatriska mottagningen (Ångestsjukdomar), Västerås"
4152,"Aleris Specialistvård, Söderhamn",,61,Privat,,,Specialiserad vård,3,61052,"Aleris Specialistvård, Söderhamn"
4165,Älvdalens psyk mottagning (Mora lasarett - Älvdalen),,57,Offentlig,,,Specialiserad vård,3,57011F,Älvdalens psyk mottagning (Mora lasarett - Älvdalen)
4166,Falu Psykiatriska Beroendemottagning,,57,Offentlig,,,Specialiserad vård,3,57010B,Falu Psykiatriska Beroendemottagning
4167,Falu Psykiatriska Ätstörningsavd,,57,Offentlig,,,Specialiserad vård,3,57010A,Falu Psykiatriska Ätstörningsavd
4168,Botkyrka BUP- mottagning,,10,Offentlig,,,Specialiserad vård,3,10933_old,Botkyrka BUP- mottagning
4169,Haninge Psykiatriska Öppenvårdsklinik sydöst,,10,Offentlig,,,Specialiserad vård,3,10817_old,Haninge Psykiatriska Öppenvårdsklinik sydöst
4170,Nynäshamns Psykiatriska Öppenvårdsklinik sydöst,,10,Offentlig,,,Specialiserad vård,3,10816_old,Nynäshamns Psykiatriska Öppenvårdsklinik sydöst
4177,"Nacka Närsjukhus, Stockholm",,10,Offentlig,,,Specialiserad vård,3,10071_old,"Nacka Närsjukhus, Stockholm"
4178,"Capio Citykliniken, Malmö Singelgatan (Specialistmottagning)",,41,Privat,,,Specialiserad vård,3,41060A,"Capio Citykliniken, Malmö Singelgatan (Specialistmottagning)"
4180,"Närhälsan Kungshöjd, Gynekologisk mottagning",,51,Offentlig,,,Specialiserad vård,3,52735,"Närhälsan Kungshöjd, Gynekologisk mottagning"
4181,"Psykiatrisk öppenvård, Arvika/Säffle",,54,Offentlig,,,Specialiserad vård,3,54902,"Psykiatrisk öppenvård, Arvika/Säffle"
4182,"Psykiatrisk mottagning, Torsby/Hagfors",,54,Offentlig,,,Specialiserad vård,3,54904,"Psykiatrisk mottagning, Torsby/Hagfors"
4183,"Psykiatrisk öppenvård, Kristinehamn",,54,Offentlig,,,Specialiserad vård,3,54903,"Psykiatrisk öppenvård, Kristinehamn"
4186,Falun BUP Familjeterapi,,57,Offentlig,,,Specialiserad vård,3,57021,Falun BUP Familjeterapi
4187,Falun BUP Ätstörning,,57,Offentlig,,,Specialiserad vård,3,57022,Falun BUP Ätstörning
4192,"Psykiatrisk öppenvård, Karlstad",,54,Offentlig,,,Specialiserad vård,3,54901,"Psykiatrisk öppenvård, Karlstad"
4257,Barnmottagningen Baltazar AB,,21,Privat,,,Specialiserad vård,3,21058,Barnmottagningen Baltazar AB
4258,Barn- och ungdomspsykiatrimottagning Södertull,,61,Offentlig,,,Specialiserad vård,3,61923,Barn- och ungdomspsykiatrimottagning Södertull
